Accession,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Highest mean condition,Lowest mean condition,Description,20170831_UDMSE_CONTROL_R001,20170831_UDMSE_CONTROL_R002,20170831_UDMSE_CONTROL_R003,20170831_UDMSE_INFECTED_R001,20170831_UDMSE_INFECTED_R002,20170831_UDMSE_INFECTED_R003,20170831_UDMSE_CONTROL_raw_R001,20170831_UDMSE_CONTROL_raw_R002,20170831_UDMSE_CONTROL_raw_R003,20170831_UDMSE_INFECTED__raw_R001,20170831_UDMSE_INFECTED_raw_R002,20170831_UDMSE_INFECTED_raw_003
A0A0D9R4E3,2,2,8.7645,0.000132144,0.000123508,2.352442335,1,I,C,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,3510.85998,3455.231198,3485.058969,7288.865392,8861.011161,8435.851506,3510.85998,3455.231198,3485.058969,7288.865392,8861.011161,8435.851506
REVERSE6774,2,1,11.3798,0.000132194,0.000123508,1.462241324,1,C,I,Reversed Sequence 6774,4707.694263,4659.722128,4784.178124,3177.150969,3115.132896,3385.731853,4707.694263,4659.722128,4784.178124,3177.150969,3115.132896,3385.731853
A0A0D9RZY9,4,2,22.0005,0.000132724,0.000123508,1.531680801,1,I,C,MALT1 paracaspase OS=Chlorocebus sabaeus GN=MALT1 PE=4 SV=1,4961.309521,5022.584457,5128.344299,7346.372638,7711.943319,8088.809275,4961.309521,5022.584457,5128.344299,7346.372638,7711.943319,8088.809275
A0A0D9QUV1,8,6,40.8559,0.000134251,0.000124328,1.545921101,1,I,C,Proteasome 26S subunit_ ATPase 4 OS=Chlorocebus sabaeus GN=PSMC4 PE=3 SV=1,55218.68612,52650.47902,50011.39441,81067.07843,82870.51648,80133.29361,55218.68612,52650.47902,50011.39441,81067.07843,82870.51648,80133.29361
A0A0D9R358,18,14,124.3293,0.000137214,0.000126464,1.208295826,1,C,I,Protein kinase C substrate 80K-H OS=Chlorocebus sabaeus GN=PRKCSH PE=4 SV=1,189774.1315,186620.1828,188850.337,156486.6134,158915.9868,152400.5976,189774.1315,186620.1828,188850.337,156486.6134,158915.9868,152400.5976
A0A0D9R9Q4,20,13,139.0992,0.000140098,0.000128507,1.473472008,1,I,C,X-ray repair cross-complementing protein 5 OS=Chlorocebus sabaeus GN=XRCC5 PE=3 SV=1,81020.31354,84133.85691,78751.6292,117668.044,124450.0471,117270.2773,81020.31354,84133.85691,78751.6292,117668.044,124450.0471,117270.2773
A0A0D9RJC1,5,5,31.426,0.000141602,0.000129271,1.228631324,1,C,I,NPC intracellular cholesterol transporter 2 OS=Chlorocebus sabaeus GN=NPC2 PE=4 SV=1,23234.15518,23680.29758,24134.87733,18921.09392,19393.15471,19513.78218,23234.15518,23680.29758,24134.87733,18921.09392,19393.15471,19513.78218
A0A0D9RRC2,22,19,232.7603,0.000145324,0.000132043,1.359762929,1,C,I,Annexin OS=Chlorocebus sabaeus GN=ANXA4 PE=3 SV=1,255344.5107,268277.0277,273604.2682,192718.3797,197076.2005,196503.0672,255344.5107,268277.0277,273604.2682,192718.3797,197076.2005,196503.0672
A0A0D9RFC6,2,1,14.3715,0.000151678,0.000137169,3.450256866,1,I,C,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,804.8111454,718.4730933,905.9626652,3098.439816,2745.814391,2537.271603,804.8111454,718.4730933,905.9626652,3098.439816,2745.814391,2537.271603
A0A0D9RL03,1,1,4.5769,0.000155753,0.000140196,2.562893678,1,I,C,Replication protein A3 OS=Chlorocebus sabaeus GN=RPA3 PE=4 SV=1,1293.145134,1524.287159,1616.992231,3863.354278,3699.092274,3802.512024,1293.145134,1524.287159,1616.992231,3863.354278,3699.092274,3802.512024
REVERSE3919,4,2,24.757,0.000160582,0.000143871,1.462280231,1,C,I,Reversed Sequence 3919,31721.72889,32559.71527,34270.65867,22040.26272,22189.39493,23166.52315,31721.72889,32559.71527,34270.65867,22040.26272,22189.39493,23166.52315
A0A0D9R608,13,7,63.5102,0.000172579,0.000153903,1.894256169,1,I,C,Acyl-CoA synthetase long-chain family member 3 OS=Chlorocebus sabaeus GN=ACSL3 PE=4 SV=1,18086.05771,15712.57557,16717.29468,30381.5561,32602.60068,32705.95139,18086.05771,15712.57557,16717.29468,30381.5561,32602.60068,32705.95139
A0A0D9S338,5,2,25.0442,0.000177359,0.000157089,1.796374993,1,C,I,RuvB-like helicase OS=Chlorocebus sabaeus GN=RUVBL2 PE=3 SV=1,40749.92427,39659.00937,36346.48967,21793.06973,20614.6774,22587.26993,40749.92427,39659.00937,36346.48967,21793.06973,20614.6774,22587.26993
A0A0D9RU97,7,6,65.0587,0.000177782,0.000157089,1.447718577,1,C,I,Proteasome subunit beta type OS=Chlorocebus sabaeus GN=PSMB5 PE=3 SV=1,61829.07535,57749.73872,57046.15892,39815.47352,40784.3861,41402.4244,61829.07535,57749.73872,57046.15892,39815.47352,40784.3861,41402.4244
A0A0D9QZA4;A0A0D9R3C0,3,1,29.7843,0.000179576,0.000157949,1.60030367,1,C,I,RAB3A_ member RAS oncogene family OS=Chlorocebus sabaeus GN=RAB3A PE=4 SV=1,11565.06467,11046.29945,12344.84762,7142.873351,7476.009711,7224.603519,11565.06467,11046.29945,12344.84762,7142.873351,7476.009711,7224.603519
A0A0D9QUP4,17,14,149.9362,0.000181601,0.000159005,1.372745442,1,C,I,Annexin OS=Chlorocebus sabaeus GN=ANXA5 PE=3 SV=1,283830.2741,270058.4377,271443.9922,195242.1563,198734.6808,207250.9496,283830.2741,270058.4377,271443.9922,195242.1563,198734.6808,207250.9496
A0A0D9RT88,2,1,14.8194,0.000186917,0.000161735,1.287572964,1,C,I,Lysophospholipase like 1 OS=Chlorocebus sabaeus GN=LYPLAL1 PE=4 SV=1,31250.03896,30053.58935,31439.87445,24625.29853,23654.55078,23749.85724,31250.03896,30053.58935,31439.87445,24625.29853,23654.55078,23749.85724
A0A0D9S236,4,3,25.504,0.000187195,0.000161735,1.490109207,1,C,I,BTG3 associated nuclear protein OS=Chlorocebus sabaeus GN=BANP PE=4 SV=1,16679.55538,16475.02621,17192.68175,11854.59406,10805.32918,11127.70997,16679.55538,16475.02621,17192.68175,11854.59406,10805.32918,11127.70997
A0A0D9R6W3,4,3,26.6987,0.000187238,0.000161735,1.455834737,1,C,I,Barrier to autointegration factor 1 OS=Chlorocebus sabaeus GN=BANF1 PE=4 SV=1,25079.34922,23891.33178,25415.9148,17615.56161,16374.95931,17104.97357,25079.34922,23891.33178,25415.9148,17615.56161,16374.95931,17104.97357
A0A0D9RJZ5,9,5,89.1613,0.000189327,0.000162809,1.381237497,1,C,I,Polypyrimidine tract binding protein 1 OS=Chlorocebus sabaeus GN=PTBP1 PE=4 SV=1,70543.08836,65643.12187,65889.0802,48609.34128,48276.31411,49414.52177,70543.08836,65643.12187,65889.0802,48609.34128,48276.31411,49414.52177
A0A0D9S9P8;A0A0D9SC15;A0A0D9SD70;A0A0D9RH78,8,7,122.4892,0.000191066,0.000163364,1.31414368,1,C,I,Thioredoxin OS=Chlorocebus sabaeus PE=3 SV=1,380519.5787,368658.8865,378042.5295,279701.5616,281612.5259,296446.7585,380519.5787,368658.8865,378042.5295,279701.5616,281612.5259,296446.7585
A0A0D9RCY8,1,1,4.6694,0.000191668,0.000163364,1.311617328,1,C,I,Methionine adenosyltransferase 2 subunit beta OS=Chlorocebus sabaeus GN=MAT2B PE=3 SV=1,32464.20288,33961.19969,32559.0377,25720.30818,25273.63694,24473.52408,32464.20288,33961.19969,32559.0377,25720.30818,25273.63694,24473.52408
A0A0D9RJB8,3,1,13.2283,0.000194519,0.000165064,1.209326684,1,C,I,Echinoderm microtubule associated protein like 4 OS=Chlorocebus sabaeus GN=EML4 PE=4 SV=1,65375.0463,64822.30868,64272.54886,52183.66477,54584.98348,54039.76392,65375.0463,64822.30868,64272.54886,52183.66477,54584.98348,54039.76392
A0A0D9S2G9,4,3,24.5975,0.000196977,0.00016523,1.720886834,1,C,I,Acetyl-CoA acetyltransferase 1 OS=Chlorocebus sabaeus GN=ACAT1 PE=3 SV=1,11451.06807,12497.95054,12515.24418,7255.395306,7277.932745,6655.899545,11451.06807,12497.95054,12515.24418,7255.395306,7277.932745,6655.899545
A0A0D9S0P8,10,5,51.8481,0.000197168,0.00016523,1.860814826,1,C,I,Heat shock protein family A (Hsp70) member 4 like OS=Chlorocebus sabaeus GN=HSPA4L PE=3 SV=1,21930.11542,19534.62241,20997.97504,11836.72408,10543.55763,11187.11685,21930.11542,19534.62241,20997.97504,11836.72408,10543.55763,11187.11685
A0A0D9RVK4,10,5,83.5015,0.000197289,0.00016523,1.260988564,1,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,59320.76347,58442.56229,56248.60386,46005.45826,46628.00202,45362.9773,59320.76347,58442.56229,56248.60386,46005.45826,46628.00202,45362.9773
A0A0D9SA74,6,2,66.0479,0.000199924,0.000166712,2.835949777,1,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=3 SV=1,24888.98504,20733.94153,20655.62453,7170.939337,8539.84311,7660.065527,24888.98504,20733.94153,20655.62453,7170.939337,8539.84311,7660.065527
A0A0D9RU98,4,3,25.0504,0.000204537,0.000169823,1.10386426,1,I,C,Capping actin protein_ gelsolin like OS=Chlorocebus sabaeus GN=CAPG PE=4 SV=1,16425.43542,16362.94308,16128.77225,17993.64095,18165.10008,17839.15339,16425.43542,16362.94308,16128.77225,17993.64095,18165.10008,17839.15339
A0A0D9S3X2,5,2,32.2186,0.00020682,0.000170977,1.392251653,1,I,C,Insulin like growth factor 2 mRNA binding protein 1 OS=Chlorocebus sabaeus GN=IGF2BP1 PE=4 SV=1,8373.25548,8576.575607,8823.253867,11895.53042,12418.94628,11568.14342,8373.25548,8576.575607,8823.253867,11895.53042,12418.94628,11568.14342
A0A0D9RSY5,12,6,65.6467,0.000207701,0.000170977,1.499519954,1,C,I,Dipeptidyl peptidase 4 OS=Chlorocebus sabaeus GN=DPP4 PE=4 SV=1,59862.26222,65150.95658,63150.36231,40784.77454,41265.65412,43432.11701,59862.26222,65150.95658,63150.36231,40784.77454,41265.65412,43432.11701
A0A0D9S1Q3,10,8,59.4103,0.000209995,0.000171855,1.325752477,1,C,I,Basal cell adhesion molecule (Lutheran blood group) OS=Chlorocebus sabaeus GN=BCAM PE=4 SV=1,74300.80584,78606.78953,76717.61116,56182.81221,57947.41888,59073.44796,74300.80584,78606.78953,76717.61116,56182.81221,57947.41888,59073.44796
REVERSE17551,14,5,73.8717,0.000211327,0.000171855,1.485801942,1,I,C,Reversed Sequence 17551,15012.74269,14400.98625,13945.5503,22083.21294,21795.52756,20544.56079,15012.74269,14400.98625,13945.5503,22083.21294,21795.52756,20544.56079
A0A0D9RTM8,3,2,16.7666,0.000211444,0.000171855,1.478991076,1,C,I,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha_ mitochondrial OS=Chlorocebus sabaeus GN=SUCLG1 PE=3 SV=1,326886.5682,360242.7183,332100.7396,229894.608,231270.3422,227973.7757,326886.5682,360242.7183,332100.7396,229894.608,231270.3422,227973.7757
A0A0D9RGZ9,3,3,13.6823,0.000213317,0.000172649,1.363408229,1,C,I,Ubiquitin recognition factor in ER associated degradation 1 OS=Chlorocebus sabaeus GN=UFD1 PE=4 SV=1,37397.60061,36839.06973,39398.04229,28226.82934,27070.04049,28049.19648,37397.60061,36839.06973,39398.04229,28226.82934,27070.04049,28049.19648
A0A0D9RHQ0,46,28,552.1272,0.000215956,0.000174053,1.252166962,1,C,I,Moesin OS=Chlorocebus sabaeus GN=MSN PE=4 SV=1,699762.9265,713918.4176,736780.9028,570990.2656,564183.7148,582218.5981,699762.9265,713918.4176,736780.9028,570990.2656,564183.7148,582218.5981
A0A0D9RLH2,17,11,125.2528,0.000217791,0.000174801,1.219556806,1,C,I,Gelsolin OS=Chlorocebus sabaeus GN=GSN PE=4 SV=1,78129.13167,80209.77553,82335.27847,65744.69648,65397.84465,66203.07209,78129.13167,80209.77553,82335.27847,65744.69648,65397.84465,66203.07209
A0A0D9S1C4,2,1,11.9721,0.000220627,0.000176342,1.878319699,1,I,C,Interferon induced protein 35 OS=Chlorocebus sabaeus GN=IFI35 PE=4 SV=1,2747.828099,2737.370242,3132.405941,5636.148487,5234.180333,5316.287061,2747.828099,2737.370242,3132.405941,5636.148487,5234.180333,5316.287061
A0A0D9S2Z3,2,1,14.9577,0.000223377,0.000177802,1.263202573,1,C,I,Keratin 24 OS=Chlorocebus sabaeus GN=KRT24 PE=3 SV=1,28783.80618,27500.34379,27278.9898,22289.88677,21721.14309,22140.78266,28783.80618,27500.34379,27278.9898,22289.88677,21721.14309,22140.78266
A0A0D9RKG6,16,6,154.0891,0.000225283,0.000178099,1.389021553,1,C,I,Enolase 3 OS=Chlorocebus sabaeus GN=ENO3 PE=3 SV=1,50732.05771,46691.17342,49454.92147,35279.53533,35743.34833,34719.28589,50732.05771,46691.17342,49454.92147,35279.53533,35743.34833,34719.28589
A0A0D9SBD4,3,2,18.0738,0.000225599,0.000178099,1.816625684,1,C,I,D-dopachrome tautomerase OS=Chlorocebus sabaeus GN=DDT PE=4 SV=1,14983.61232,13665.42598,15576.15959,7687.155929,8360.594837,8296.944057,14983.61232,13665.42598,15576.15959,7687.155929,8360.594837,8296.944057
A0A0D9R8K5,10,7,117.1898,0.000233383,0.000183393,1.458647904,1,C,I,Carbonyl reductase 1 OS=Chlorocebus sabaeus GN=CBR1 PE=3 SV=1,93699.66213,101522.6929,103155.2252,68776.43865,67899.92979,67881.27662,93699.66213,101522.6929,103155.2252,68776.43865,67899.92979,67881.27662
A0A0D9QXW2,4,1,22.2407,0.000234209,0.000183393,3.43934708,1,I,C,Cytochrome b-c1 complex subunit Rieske_ mitochondrial OS=Chlorocebus sabaeus GN=UQCRFS1 PE=4 SV=1,14571.24113,12602.99483,10349.17767,43471.35643,43207.01967,42377.66703,14571.24113,12602.99483,10349.17767,43471.35643,43207.01967,42377.66703
A0A0D9S3R7;A0A0D9SCH7,2,1,12.9378,0.000235995,0.000183512,1.441387465,1,I,C,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,3385.298264,3136.260627,3431.038812,4786.61793,4707.079609,4851.852032,3385.298264,3136.260627,3431.038812,4786.61793,4707.079609,4851.852032
REVERSE13702,3,1,14.7446,0.000236965,0.000183512,1.829249473,1,I,C,Reversed Sequence 13702,4089.864318,4140.108001,4698.659186,8170.209255,7842.683843,7636.799265,4089.864318,4140.108001,4698.659186,8170.209255,7842.683843,7636.799265
A0A0D9QXD3,11,10,97.1515,0.000237441,0.000183512,1.196178391,1,C,I,Aspartate aminotransferase OS=Chlorocebus sabaeus GN=GOT2 PE=4 SV=1,192855.5886,191171.7392,184574.2161,159454.6934,159038.6263,156855.13,192855.5886,191171.7392,184574.2161,159454.6934,159038.6263,156855.13
A0A0D9R975,3,2,17.9127,0.000238172,0.000183512,1.413820655,1,C,I,Myotrophin OS=Chlorocebus sabaeus GN=MTPN PE=4 SV=1,16078.25491,16742.03655,16069.65262,11401.67571,11113.28716,12065.05539,16078.25491,16742.03655,16069.65262,11401.67571,11113.28716,12065.05539
A0A0D9RAM8,24,17,203.1187,0.000240687,0.000184525,1.133883933,1,I,C,Protein disulfide-isomerase OS=Chlorocebus sabaeus GN=PDIA3 PE=3 SV=1,264608.9421,258739.3549,261091.3487,291925.5859,298807.774,298730.1505,264608.9421,258739.3549,261091.3487,291925.5859,298807.774,298730.1505
A0A0D9RI90,8,7,58.669,0.000241402,0.000184525,1.265741111,1,C,I,RALY heterogeneous nuclear ribonucleoprotein OS=Chlorocebus sabaeus GN=RALY PE=4 SV=1,95405.39064,91302.28878,89717.61342,73109.00993,73202.84077,72078.2216,95405.39064,91302.28878,89717.61342,73109.00993,73202.84077,72078.2216
A0A0D9RM23,6,3,43.6538,0.000246583,0.0001876,1.57404868,1,C,I,PHD finger protein 3 OS=Chlorocebus sabaeus GN=PHF3 PE=4 SV=1,31020.92614,32230.01291,34186.9325,21163.74063,19681.85079,21057.11388,31020.92614,32230.01291,34186.9325,21163.74063,19681.85079,21057.11388
A0A0D9R3P5,8,5,46.9122,0.000247373,0.0001876,1.233528845,1,C,I,Calcium-transporting ATPase OS=Chlorocebus sabaeus GN=ATP2B3 PE=3 SV=1,89554.74039,87218.50459,85739.18323,69895.5994,70389.69805,72528.88139,89554.74039,87218.50459,85739.18323,69895.5994,70389.69805,72528.88139
A0A0D9S5T8,8,6,57.1837,0.000249379,0.00018838,1.565715246,1,C,I,Proteasome subunit beta OS=Chlorocebus sabaeus GN=PSMB4 PE=3 SV=1,56767.3936,54313.51828,53971.49475,33170.20804,35083.1494,37163.26099,56767.3936,54313.51828,53971.49475,33170.20804,35083.1494,37163.26099
A0A0D9QYL9,6,6,55.8692,0.000251555,0.000189281,1.323847788,1,C,I,Insulin like growth factor binding protein 7 OS=Chlorocebus sabaeus GN=IGFBP7 PE=4 SV=1,74753.69848,79417.65847,74169.81987,56762.5406,57512.34478,58208.06841,74753.69848,79417.65847,74169.81987,56762.5406,57512.34478,58208.06841
A0A0D9RDM5,2,2,14.5008,0.000258383,0.000193662,1.795571736,1,C,I,Deoxyuridine triphosphatase OS=Chlorocebus sabaeus GN=DUT PE=4 SV=1,49455.12761,44206.3709,44531.64324,26700.3704,26164.19279,24098.74547,49455.12761,44206.3709,44531.64324,26700.3704,26164.19279,24098.74547
A0A0D9R6K2,8,3,48.3465,0.000259411,0.000193679,1.902777538,1,I,C,SPEG complex locus OS=Chlorocebus sabaeus GN=SPEG PE=4 SV=1,63727.9367,67775.74764,75881.58929,128349.4281,131619.5541,134639.0583,63727.9367,67775.74764,75881.58929,128349.4281,131619.5541,134639.0583
A0A0D9S3T4,6,3,42.2383,0.000261706,0.000194638,1.317999843,1,C,I,Endoplasmic reticulum resident protein 29 OS=Chlorocebus sabaeus GN=ERP29 PE=4 SV=1,19080.14018,18133.48451,18405.8469,13601.97003,14375.6817,14222.25588,19080.14018,18133.48451,18405.8469,13601.97003,14375.6817,14222.25588
A0A0D9RQK6,11,6,56.5413,0.000262901,0.000194775,1.17516411,1,C,I,ARP2 actin related protein 2 homolog OS=Chlorocebus sabaeus GN=ACTR2 PE=3 SV=1,85904.4673,88330.23231,88083.55304,73053.72086,74582.37494,75582.30451,85904.4673,88330.23231,88083.55304,73053.72086,74582.37494,75582.30451
A0A0D9RYQ9,11,5,86.7364,0.000268923,0.000198136,1.446777366,1,C,I,Rab GDP dissociation inhibitor OS=Chlorocebus sabaeus GN=GDI1 PE=3 SV=1,197070.1864,215556.0912,204963.4328,146901.5746,139876.2736,140094.8172,197070.1864,215556.0912,204963.4328,146901.5746,139876.2736,140094.8172
REVERSE3816,3,1,13.2486,0.000269495,0.000198136,1.551378338,1,C,I,Reversed Sequence 3816,43954.49947,45692.94817,44746.7459,28520.47219,27333.7907,30774.63363,43954.49947,45692.94817,44746.7459,28520.47219,27333.7907,30774.63363
A0A0D9RLG8,21,14,113.9849,0.000271328,0.000198725,1.190168872,1,C,I,Translocated promoter region_ nuclear basket protein OS=Chlorocebus sabaeus GN=TPR PE=4 SV=1,94816.01407,94810.92364,94242.81196,78310.08968,78406.48564,81795.58571,94816.01407,94810.92364,94242.81196,78310.08968,78406.48564,81795.58571
A0A0D9R925,6,4,30.8447,0.000272529,0.000198849,1.266154374,1,C,I,Lectin_ mannose binding 2 OS=Chlorocebus sabaeus GN=LMAN2 PE=4 SV=1,35598.16278,33682.88174,34450.18546,27731.98451,26717.03339,27477.19279,35598.16278,33682.88174,34450.18546,27731.98451,26717.03339,27477.19279
A0A0D9RF66,10,9,76.9719,0.000280618,0.000203978,1.264431531,1,I,C,Ribonuclease/angiogenin inhibitor 1 OS=Chlorocebus sabaeus GN=RNH1 PE=4 SV=1,50191.37173,49215.6687,51570.72677,63413.91991,62186.80646,65300.3229,50191.37173,49215.6687,51570.72677,63413.91991,62186.80646,65300.3229
A0A0D9RDI7;A0A0D9RB23;A0A0D9SAT7,5,4,37.9272,0.000283825,0.000205534,1.228431786,1,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=3 SV=1,56906.13847,60180.05309,58792.01462,47225.78325,47757.62609,48189.54347,56906.13847,60180.05309,58792.01462,47225.78325,47757.62609,48189.54347
A0A0D9RE03,6,4,34.1682,0.000286531,0.000206716,1.417736916,1,C,I,NSFL1 cofactor OS=Chlorocebus sabaeus GN=NSFL1C PE=4 SV=1,18042.44781,17927.2522,18045.97103,13426.35601,12507.32038,12166.24921,18042.44781,17927.2522,18045.97103,13426.35601,12507.32038,12166.24921
A0A0D9S3F8,3,1,16.729,0.000290093,0.000208505,1.602581928,1,C,I,Proteasome subunit beta type OS=Chlorocebus sabaeus GN=PSMB3 PE=3 SV=1,18485.11065,19339.66837,20152.82665,12728.98056,12016.1183,11432.52468,18485.11065,19339.66837,20152.82665,12728.98056,12016.1183,11432.52468
A0A0D9RNH2,8,3,46.7969,0.000310011,0.00022156,1.347869417,0.999999999,C,I,Serine and arginine rich splicing factor 6 OS=Chlorocebus sabaeus GN=SRSF6 PE=4 SV=1,30297.36878,30193.98378,28301.08046,22427.58509,21990.07298,21458.48089,30297.36878,30193.98378,28301.08046,22427.58509,21990.07298,21458.48089
A0A0D9RER4;A0A0D9SD89,3,2,30.2176,0.000310557,0.00022156,1.441347809,0.999999999,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,44432.84335,43930.75279,45241.90068,29751.78502,30163.78173,32779.26788,44432.84335,43930.75279,45241.90068,29751.78502,30163.78173,32779.26788
A0A0D9RR49,9,6,55.8298,0.000318632,0.000225938,1.227285077,0.999999999,C,I,Staufen double-stranded RNA binding protein 1 OS=Chlorocebus sabaeus GN=STAU1 PE=4 SV=1,100178.4217,104586.8679,106280.4907,84619.82582,84384.34723,84437.98639,100178.4217,104586.8679,106280.4907,84619.82582,84384.34723,84437.98639
A0A0D9RBE9,10,7,75.0369,0.000319038,0.000225938,1.256215402,0.999999999,C,I,S-methyl-5'-thioadenosine phosphorylase OS=Chlorocebus sabaeus GN=MTAP PE=3 SV=1,93744.37897,92337.7797,94054.59313,72499.37879,73379.30717,77121.88495,93744.37897,92337.7797,94054.59313,72499.37879,73379.30717,77121.88495
A0A0D9RRN8,4,2,27.3673,0.000323441,0.000228217,1.29495537,0.999999998,C,I,Thrombospondin 4 OS=Chlorocebus sabaeus GN=THBS4 PE=4 SV=1,9889.904307,9553.880548,9312.594521,7268.958243,7609.297043,7328.208391,9889.904307,9553.880548,9312.594521,7268.958243,7609.297043,7328.208391
A0A0D9RFF1,18,2,221.6166,0.000330663,0.000232461,1.840671016,0.999999998,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=3 SV=1,32363.01811,28843.66041,28636.02891,17205.31854,15226.51096,16377.92883,32363.01811,28843.66041,28636.02891,17205.31854,15226.51096,16377.92883
A0A0D9SAE8;A0A0D9RUA9,3,3,42.2891,0.000332896,0.000233179,1.492796171,0.999999998,C,I,SET-like protein OS=Chlorocebus sabaeus GN=SETSIP PE=3 SV=1,117290.0006,116018.6127,126715.9372,82531.19846,77044.43114,81598.99111,117290.0006,116018.6127,126715.9372,82531.19846,77044.43114,81598.99111
A0A0D9RC11,14,6,120.3712,0.000341324,0.000238217,1.454585125,0.999999997,C,I,TNF receptor associated protein 1 OS=Chlorocebus sabaeus GN=TRAP1 PE=3 SV=1,65663.40202,63602.25789,69244.76796,47295.99871,43884.3444,45291.85399,65663.40202,63602.25789,69244.76796,47295.99871,43884.3444,45291.85399
A0A0D9RB49,3,3,19.9633,0.000346907,0.000240937,1.744924124,0.999999996,C,I,CutA divalent cation tolerance homolog OS=Chlorocebus sabaeus GN=CUTA PE=4 SV=1,42946.96012,36671.66545,38587.6365,22262.68484,22203.91684,23276.32219,42946.96012,36671.66545,38587.6365,22262.68484,22203.91684,23276.32219
A0A0D9RN51,7,6,39.7596,0.000348753,0.000240937,1.29883875,0.999999996,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=4 SV=1,39323.6715,36798.90984,38987.74636,30116.76044,29136.50268,29372.30933,39323.6715,36798.90984,38987.74636,30116.76044,29136.50268,29372.30933
A0A0D9R2S9,2,1,21.442,0.000351217,0.000240937,1.562132041,0.999999996,C,I,Uncharacterized protein OS=Chlorocebus sabaeus PE=3 SV=1,15633.63699,14336.89964,16366.73541,10017.26157,9799.70282,9845.875124,15633.63699,14336.89964,16366.73541,10017.26157,9799.70282,9845.875124
A0A0D9RTU5,9,1,47.7491,0.000351296,0.000240937,2.047914248,0.999999996,C,I,Myosin heavy chain 7 OS=Chlorocebus sabaeus GN=MYH7 PE=3 SV=1,18363.14712,21835.4316,21976.62555,9785.489223,10578.77707,9995.99138,18363.14712,21835.4316,21976.62555,9785.489223,10578.77707,9995.99138
A0A0D9R1K0,5,3,37.0358,0.000352597,0.000240937,2.603114772,0.999999995,C,I,Membrane spanning 4-domains A14 OS=Chlorocebus sabaeus GN=MS4A14 PE=4 SV=1,31187.01904,29687.43941,35472.44407,13676.49658,10880.6589,12455.00532,31187.01904,29687.43941,35472.44407,13676.49658,10880.6589,12455.00532
A0A0D9RIZ3,2,1,7.3709,0.000353645,0.000240937,1.419078178,0.999999995,C,I,Peptidylprolyl isomerase OS=Chlorocebus sabaeus GN=FKBP15 PE=4 SV=1,29100.66389,31774.59957,30021.51241,21396.76805,20689.1817,21967.44579,29100.66389,31774.59957,30021.51241,21396.76805,20689.1817,21967.44579
A0A0D9QW47,8,5,54.4694,0.000353978,0.000240937,1.157301668,0.999999995,C,I,Cleavage and polyadenylation specific factor 6 OS=Chlorocebus sabaeus GN=CPSF6 PE=4 SV=1,36518.80768,36417.33057,35940.91901,31952.93083,30663.44789,31461.99365,36518.80768,36417.33057,35940.91901,31952.93083,30663.44789,31461.99365
A0A0D9RNS1,6,5,44.1626,0.000363569,0.000246158,1.350031991,0.999999994,I,C,Alpha 2-HS glycoprotein OS=Chlorocebus sabaeus GN=AHSG PE=3 SV=1,26707.76269,25131.58994,26947.87072,36537.66365,35111.06895,34716.53936,26707.76269,25131.58994,26947.87072,36537.66365,35111.06895,34716.53936
A0A0D9QUI8,5,2,30.2245,0.000364204,0.000246158,1.397258089,0.999999994,I,C,Glycylpeptide N-tetradecanoyltransferase OS=Chlorocebus sabaeus GN=NMT1 PE=3 SV=1,62144.78854,64161.34872,66712.07307,86055.0212,91396.78234,92244.45225,62144.78854,64161.34872,66712.07307,86055.0212,91396.78234,92244.45225
A0A0D9SAA7,2,1,16.9674,0.000368836,0.000248417,2.995173779,0.999999993,C,I,Trophoblast glycoprotein OS=Chlorocebus sabaeus GN=TPBG PE=4 SV=1,6261.544868,6269.55281,7237.194955,2533.247629,1877.901814,2188.899199,6261.544868,6269.55281,7237.194955,2533.247629,1877.901814,2188.899199
A0A0D9S1A5,8,8,49.0872,0.000375579,0.000251544,1.267196601,0.999999991,C,I,ETHE1_ persulfide dioxygenase OS=Chlorocebus sabaeus GN=ETHE1 PE=4 SV=1,48268.11689,47899.01886,49342.21026,39531.86738,38334.73014,36961.16156,48268.11689,47899.01886,49342.21026,39531.86738,38334.73014,36961.16156
A0A0D9QZ38,3,3,19.6207,0.000377469,0.000251544,1.293390711,0.999999991,C,I,Tetraspanin OS=Chlorocebus sabaeus GN=CD63 PE=3 SV=1,15554.67353,15469.40758,14491.51589,11767.42746,11796.74961,11626.73362,15554.67353,15469.40758,14491.51589,11767.42746,11796.74961,11626.73362
